,Unnamed: 0,type,epoch,top1,top5,loss,time,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
94,14,train,7,0.4687,0.8718666666666667,0.0065272184610366,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
95,15,test,7,0.4721,0.8793,0.006461838710308,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
96,16,train,8,0.4681333333333333,0.8725333333333334,0.0065253139098485,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
97,17,test,8,0.471,0.8796,0.0064582049012184,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
98,18,train,9,0.47005,0.87165,0.0065211014548937,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
99,19,test,9,0.4735,0.8778,0.0064527248501777,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
100,20,train,10,0.4688166666666666,0.87235,0.0065188659846782,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
101,21,test,10,0.4724,0.8792,0.0064526432156562,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
102,22,train,11,0.4700833333333333,0.8712166666666666,0.0065170748094717,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
103,23,test,11,0.4756,0.8796,0.0064505666136741,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
104,24,train,12,0.4688333333333333,0.8730333333333333,0.0065103317141532,4.0,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
105,25,test,12,0.477,0.8802,0.0064431965827941,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
106,26,train,13,0.4706333333333333,0.8726833333333334,0.0065072169701258,4.0,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
107,27,test,13,0.4786,0.8784,0.0064389965653419,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
108,28,train,14,0.4694166666666666,0.8741166666666667,0.006502249588569,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
